Tokyo,35.6897,139.6922,Japan
Jakarta,-6.2146,106.8451,Indonesia
Delhi,28.66,77.23,India
Mumbai,18.9667,72.8333,India
Manila,14.5958,120.9772,Philippines
Shanghai,31.1667,121.4667,China
Sao Paulo,-23.5504,-46.6339,Brazil
Seoul,37.5833,127,"Korea, South"
Mexico City,19.4333,-99.1333,Mexico
Guangzhou,23.1288,113.259,China
Beijing,39.905,116.3914,China
Cairo,30.0561,31.2394,Egypt
New York,40.6943,-73.9249,United States
Kolkata,22.5411,88.3378,India
Moscow,55.7558,37.6178,Russia
Bangkok,13.75,100.5167,Thailand
Buenos Aires,-34.5997,-58.3819,Argentina
Shenzhen,22.535,114.054,China
Dhaka,23.7161,90.3961,Bangladesh
Lagos,6.45,3.4,Nigeria
Istanbul,41.01,28.9603,Turkey
Osaka,34.6936,135.5019,Japan
Karachi,24.86,67.01,Pakistan
Bangalore,12.9699,77.598,India
Tehran,35.7,51.4167,Iran
Kinshasa,-4.3317,15.3139,Congo (Kinshasa)
Ho Chi Minh City,10.8167,106.6333,Vietnam
Los Angeles,34.1139,-118.4068,United States
Rio de Janeiro,-22.9083,-43.1964,Brazil
Nanyang,32.9987,112.5292,China
Chennai,13.0825,80.275,India
Chengdu,30.6636,104.0667,China
Lahore,31.5497,74.3436,Pakistan
Paris,48.8566,2.3522,France
London,51.5072,-0.1275,United Kingdom
Linyi,35.0606,118.3425,China
Tianjin,39.1467,117.2056,China
Shijiazhuang,38.0422,114.5086,China
Baoding,38.8671,115.4845,China
Zhoukou,33.625,114.6418,China
Lima,-12.05,-77.0333,Peru
Hyderabad,17.3667,78.4667,India
Bogota,4.6126,-74.0705,Colombia
Weifang,36.7167,119.1,China
Nagoya,35.1167,136.9333,Japan
Wuhan,30.5872,114.2881,China
Heze,35.2333,115.4333,China
Ganzhou,25.8292,114.9336,China
Tongshan,34.261,117.1859,China
Chicago,41.8373,-87.6862,United States
Handan,36.6116,114.4894,China
Luanda,-8.8383,13.2344,Angola
Fuyang,32.8986,115.8045,China
Kuala Lumpur,3.1478,101.6953,Malaysia
Jining,35.4,116.5667,China
Dongguan,23.0475,113.7493,China
Hanoi,21.0245,105.8412,Vietnam
Pune,18.5196,73.8553,India
Chongqing,29.55,106.5069,China
Changchun,43.9,125.2,China
Zhumadian,32.9773,114.0253,China
Ningbo,29.875,121.5492,China
Onitsha,6.1667,6.7833,Nigeria
Nanjing,32.05,118.7667,China
Hefei,31.8639,117.2808,China
Ahmadabad,23.03,72.58,India
Hong Kong,22.305,114.185,Hong Kong
Khartoum,15.6031,32.5265,Sudan
Nantong,31.9829,120.8873,China
Yancheng,33.3936,120.1339,China
Foshan,23.0292,113.1056,China
Nanning,22.8192,108.315,China
Hengyang,26.8968,112.5857,China
Xi'an,34.2667,108.9,China
Shenyang,41.8039,123.4258,China
Tangshan,39.6292,118.1742,China
Shaoyang,27.2418,111.4725,China
Changsha,28.1987,112.9709,China
Santiago,-33.45,-70.6667,Chile
Zhengzhou,34.7492,113.6605,China
Zhanjiang,21.1967,110.4031,China
Riyadh,24.65,46.71,Saudi Arabia
Cangzhou,38.3037,116.8452,China
Dar es Salaam,-6.8,39.2833,Tanzania
Maoming,21.6618,110.9178,China
Huanggang,30.45,114.875,China
Xinyang,32.1264,114.0672,China
Shangrao,28.4419,117.9633,China
Luoyang,34.6587,112.4245,China
Bijie,27.3019,105.2863,China
Yantai,37.3997,121.2664,China
Quanzhou,24.9139,118.5858,China
Hangzhou,30.25,120.1675,China
Miami,25.7839,-80.2102,United States
Kunming,25.0433,102.7061,China
Nanchong,30.7991,106.0784,China
Zunyi,27.705,106.9336,China
Lu'an,31.7542,116.5078,China
Yichun,27.8041,114.383,China
Taizhou,28.6583,121.4221,China
Liaocheng,36.45,115.9833,China
Qujing,25.5102,103.8029,China
Xiangyang,32.0654,112.1531,China
Surat,21.17,72.83,India
Baghdad,33.35,44.4167,Iraq
Qingdao,36.1167,120.4,China
Singapore,1.3,103.8,Singapore
Dallas,32.7936,-96.7662,United States
Changde,29.0397,111.6839,China
Dazhou,31.2152,107.4947,China
Suzhou,33.6333,116.9683,China
Philadelphia,40.0077,-75.1339,United States
Jieyang,23.5533,116.3649,China
Nairobi,-1.2864,36.8172,Kenya
Nangandao,35.2992,113.8851,China
Ankara,39.93,32.85,Turkey
Tai'an,36.2001,117.0809,China
Yulin,22.6293,110.1507,China
Dezhou,37.4513,116.3105,China
Houston,29.7863,-95.3889,United States
Atlanta,33.7627,-84.4224,United States
Rangoon,16.8,96.15,Burma
Toronto,43.7417,-79.3733,Canada
Suihua,46.6384,126.9808,China
Washington,38.9047,-77.0163,United States
Qiqihar,47.3398,123.9512,China
Jinhua,29.1046,119.6494,China
Saint Petersburg,59.95,30.3167,Russia
Shantou,23.3735,116.6941,China
Sydney,-33.865,151.2094,Australia
Weinan,34.4996,109.4684,China
Suqian,33.9331,118.2831,China
Guadalajara,20.6767,-103.3475,Mexico
Suzhou,31.304,120.6164,China
Fuzhou,26.0769,119.2917,China
Zhaotong,27.3328,103.7144,China
Pudong,31.2231,121.5397,China
Yongzhou,26.4515,111.5953,China
Belo Horizonte,-19.8917,-43.9478,Brazil
Zhangzhou,24.5093,117.6612,China
Bozhou,33.8626,115.7742,China
Melbourne,-37.8136,144.9631,Australia
Nanchang,28.6842,115.8872,China
Xianyang,34.35,108.7167,China
Taizhou,32.4831,119.9,China
Surabaya,-7.2458,112.7378,Indonesia
Abidjan,5.3364,-4.0267,Côte D’Ivoire
Ji'an,27.1172,114.9793,China
Mianyang,31.4669,104.7385,China
Shaoxing,30,120.5833,China
Alexandria,31.2,29.9167,Egypt
Yuncheng,35.0304,110.998,China
Pingdingshan,33.735,113.2999,China
Huai'an,33.5,119.1331,China
Xinpu,34.5906,119.1801,China
Guilin,25.2667,110.2833,China
Huaihua,27.5494,109.9592,China
Jiujiang,29.7048,116.0021,China
Anqing,30.5,117.0333,China
